C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c1.wav;72718;суд<00:00:00.390><c> разрешил</c><00:00:00.570><c> как</c><00:00:01.020><c> я</c><00:00:01.350><c> открыл</c><00:00:01.680><c> подписание</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c2.wav;398;суд разрешил как я открыл подписание
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c3.wav;78478;суд разрешил как я открыл подписание избирать<00:00:02.700><c> юра</c><00:00:03.120><c> это</c><00:00:03.270><c> не</c><00:00:03.360><c> кремовый</c><00:00:03.990><c> и</c><00:00:04.140><c> даже</c><00:00:04.589><c> не</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c4.wav;398;избирать юра это не кремовый и даже не
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c5.wav;102478;избирать юра это не кремовый и даже не бежевый<00:00:05.310><c> интересный</c><00:00:06.240><c> можно</c><00:00:06.660><c> сточить</c><00:00:06.950><c> общей</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c6.wav;398;бежевый интересный можно сточить общей
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c7.wav;61198;бежевый интересный можно сточить общей конъюнктуры<00:00:08.610><c> как</c><00:00:09.179><c> ты</c><00:00:09.389><c> собираешься</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c8.wav;398;конъюнктуры как ты собираешься
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c9.wav;117806;конъюнктуры как ты собираешься юра<00:00:11.300><c> поедет</c><00:00:12.300><c> салатик</c><00:00:12.690><c> делаю</c><00:00:12.990><c> лучше</c><00:00:13.200><c> чем</c><00:00:13.349><c> твоя</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c10.wav;398;юра поедет салатик делаю лучше чем твоя
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c11.wav;89998;юра поедет салатик делаю лучше чем твоя жена<00:00:13.799><c> явно</c><00:00:14.670><c> добавить</c><00:00:15.240><c> акта</c><00:00:15.540><c> и</c><00:00:15.599><c> яблочко</c><00:00:16.020><c> от</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c12.wav;398;жена явно добавить акта и яблочко от
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c13.wav;89070;жена явно добавить акта и яблочко от веточками<00:00:16.920><c> удалось</c><00:00:17.900><c> политика</c><00:00:18.900><c> или</c>
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c14.wav;398;веточками удалось политика или
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c15.wav;26638;веточками удалось политика или журналистика
C:\Users\Антон\Desktop\WN\world_news_dict\files\waves\cut\\f1c16.wav;398;журналистика
